PDF Path,Text,cleaned_Text
1.pdf,"Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2

Allegation

Two companies with the same owner took part at least three times in the same Airport tenders.

Background Information

The Kosovo citizen, Vendor 1 and Vendor 2 Representative, is the owner and Director of the Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company Vendor 2. Both companies have their residences at the same address in Pristina.

Both Vendor 1 and Vendor 2 submitted three times in 2003 for the same tenders:

Supply and Mounting of Sonic System in the Fire Station Building. Winner was Vendor 2 with €1,530 followed by Vendor 1 with €1,620. The third company, Vendor 3, did not provide a price offer.

Cabling of Flat Display Information System (FIDS). Winner was Vendor 1 with €15,919 followed by Vendor 2 with €19,248.70. The other two competitors, Vendor 3 and Vendor 4, offered prices of Euro 19,702 and Euro 21,045.

Purchase and fixing of Cramer Antenna. Winner was again Vendor 1 with €3,627.99 followed by Vendor 2 with €3,921. The other two competitors, Vendor 3 and Vendor 4, offered prices of €4,278 and €4,670.",pristina airport possible administrative irregularity tender procedure involve vendor 1 vendor 2 allegation company owner take time airport tender background information kosovo citizen vendor 1 vendor 2 representative owner director pristinabased vendor 1 51 shareholder pristinaljubljanabased company vendor 2 company residence address pristina vendor 1 vendor 2 submit time 2003 tender supply mounting sonic system fire station building winner vendor 2 1530 follow vendor 1 1620 company vendor 3 provide price offer cabling flat display information system fids winner vendor 1 15919 follow vendor 2 1924870 competitor vendor 3 vendor 4 offer price euro 19702 euro 21045 purchase fixing cramer antenna winner vendor 1 362799 follow vendor 2 3921 competitor vendor 3 vendor 4 offer price 4278 4670
1.pdf,"Investigative details

In his/her interviews conducted on 31st August and 14th September 2004, Vendor 1 and Vendor 2 Representative admitted that the fact that both Vendor 1 and Vendor 2 took part together in three Airport tenders put other competitors at a disadvantage, but alleged both companies have never exchanged information with regard to the price offers.

There were doubts whether both companies Vendor 3 and Vendor 4 exist and submitted bids for the three tenders. The ITF investigation, with support from the Kosovo Organised Crime Bureau (KOCB), has found no reference with regard to the existence of the alleged competitor Vendor 4 in Pristina. The alleged company Vendor 3 was found to be a supermarket located in Prizren.

The above-mentioned facts are already part of the ITF case no. 286/04 that was submitted to the International Prosecutor, UNMIK Department of Justice, in October 2004. On 1 December 2004, the ITF contacted the International Prosecutor for a legal assessment of this case. Although this case would clearly be a breach of Economic Law, there is no applicable law in Kosovo for the time being.",investigative detail interview conduct 31st august 14th september 2004 vendor 1 vendor 2 representative admit fact vendor 1 vendor 2 take airport tender competitor disadvantage allege company exchange information regard price offer doubt company vendor 3 vendor 4 exist submit bid tender itf investigation support kosovo organised crime bureau kocb find reference regard existence alleged competitor vendor 4 pristina alleged company vendor 3 find supermarket locate prizren abovementioned fact itf case 286 04 submit international prosecutor unmik department justice october 2004 1 december 2004 itf contact international prosecutor legal assessment case case clearly breach economic law applicable law kosovo time
10.pdf,"""An interoffice memorandum providing an “outstanding issues update to Official 2”, from DOTI Official 3 to Staff member 1 at the office of Official 2 dated 18 May 2001, could give rise to the suggestion that offers were provided by companies on 28 May 2001, and the Vendor had been chosen for the works in advance. However, a more likely explanation is the date of the interoffice memorandum has been incorrectly dated, since the document contains reference dates relating to project “events” which post date 18 May 2001. At paragraph 2b, the interoffice memorandum states that the Cargo Apron invitation to tender was based on summary documents.""",interoffice memorandum provide outstanding issue update official 2 doti official 3 staff member 1 office official 2 date 18 2001 rise suggestion offer provide company 28 2001 vendor choose work advance likely explanation date interoffice memorandum incorrectly date document contain reference date relate project event post date 18 2001 paragraph 2b interoffice memorandum state cargo apron invitation tender base summary document
10.pdf,"""Allegation 2 & 3:

(Specifically, three of the persons on the bid opening committee and evaluation committees were the same parties who should not have carried out both tasks.)

and

(The contract for the Cargo Apron Extension was not channeled through the Office of the Legal Adviser.)

The evaluation report dated 2 August 2001 is signed by three parties, who are also listed as having attended the bid opening session. This indicates that the composition of the bid opening committee and the evaluation committee overlapped.

When asked about this issue in interview DOTI Official 2 confirmed that he/she was both on the bid opening committee and was a member of the evaluation committee. He/she added that the people who evaluated the offers signed the evaluation report. This is in conflict with UN regulations, which segregate the two roles. An interoffice memorandum dated 24 September 2001 indicates that the contract for the Cargo Apron Extension had not been channeled through the Office of the Legal Adviser.""",allegation 2 3 specifically person bid opening committee evaluation committee party carry task contract cargo apron extension channel office legal adviser evaluation report date 2 august 2001 sign party list having attend bid opening session indicate composition bid opening committee evaluation committee overlap ask issue interview doti official 2 confirm bid opening committee member evaluation committee add people evaluate offer sign evaluation report conflict un regulation segregate role interoffice memorandum date 24 september 2001 indicate contract cargo apron extension channel office legal adviser
10.pdf,"""When asked about this in interview, the Divisional Manager stated: “Without seeing any other documents, on the face of it, it does appear that there could be a conflict of interest here. But the report was produced by a professional pavement engineer, at a laboratory. Therefore, one can assume a certain degree of integrity.”

The ITF notes that the PEAP Official indicated that he/she was unhappy about the Vendor self-certifying its work and he/she commented that the airport engineer should have questioned it.

The ITF does not have sufficient technical knowledge to assess the adequacy of the Vendor’s work. However, a letter from the Divisional Manager to Staff Member 3 dated 25 August 2002 gives rise to the possibility that it was not up to specification in certain areas.""",ask interview divisional manager state see document face appear conflict interest report produce professional pavement engineer laboratory assume certain degree integrity itf note peap official indicate unhappy vendor selfcertifye work comment airport engineer question itf sufficient technical knowledge assess adequacy vendors work letter divisional manager staff member 3 date 25 august 2002 give rise possibility specification certain area
10.pdf,"""INVESTIGATION DETAILS

This part of the investigation relates to a tender for a contract for the extension of the Cargo Terminal Apron at Pristina Airport. The value of the contract was €774,318.63.

Allegation 1

(Specifically, the tender documents for the cargo apron did not comply with the requirements of Article 23.4 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, as they were based on summary documents and did not include clear instructions on drawings and plans.)

A note from the Project Engineer at the Evaluation Company to the PEAP Official, dated 31 January 2001, indicates that the Evaluation Company was commissioned to produce a preliminary design for the Cargo Terminal at Pristina Airport. The design also provided for the construction of the Cargo Apron Extension.""",investigation details investigation relate tender contract extension cargo terminal apron pristina airport value contract 77431863 allegation 1 specifically tender document cargo apron comply requirement article 234 unmik finance administrative instruction 1999 2 public procurement kosovo consolidated budget funds base summary document include clear instruction drawing plan note project engineer evaluation company peap official date 31 january 2001 indicate evaluation company commission produce preliminary design cargo terminal pristina airport design provide construction cargo apron extension
10.pdf,"""At paragraph 4 of the Cargo Apron Extension evaluation report dated 2 August 2001, the committee notes that the bidding documents did not include clear instructions on drawing and plans. It therefore was recommended that negotiations be held with the lowest bidder, the Vendor, on further details of the scope of works.

In combination, the two documents suggest that the tender documents did not comply with Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds.

When asked whether he/she was of the view that the tender documents complied with the provisions of Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, DOTI Official 2 conceded that if an engineer was asked this question, he/she would indicate that the tender specifications were technically deficient and did not comply with Article 23.3.""",paragraph 4 cargo apron extension evaluation report date 2 august 2001 committee note bidding document include clear instruction drawing plan recommend negotiation hold low bidder vendor detail scope work combination document suggest tender document comply article 233 unmik finance administrative instruction 1999 2 public procurement kosovo consolidated budget funds ask view tender document comply provision article 233 unmik finance administrative instruction 1999 2 public procurement kosovo consolidated budget funds doti official 2 concede engineer ask question indicate tender specification technically deficient comply article 233
10.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised DOTI Official 1 (Department of Transport and Infrastructure). The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a consultant from the Consulting Company.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed. Under him were the PEAP Official and ATCS Official (Air Traffic Control Services).

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined.""",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 pillar ii supervise doti official 1 department transport infrastructure doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second armed force united nations member state specifically airport engineer 1 airport engineer 2 airport engineer 3 later consultant consulting company 1 july 2002 responsibility administration airport pass pillar ii kosovo trust agency kta pillar iv divisional manager appoint peap official atcs official air traffic control services 1 april 2004 pristina international airport time jurisdiction kfor hand civilian jurisdiction icao regulation background change procurement procedure relate follow contract examine
10.pdf,"""METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999. UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.""",methodology investigation conduct pursuant executive decision 2003 16 establishment investigation task force itf investigator conduct enquiry allegation raise interview person indicate witness person potentially implicate allegation obtain document pristina airport administration pillar iv analyse relevance inquiry hand background information pristina international airport constitute state own enterprise yugoslavian law asset airport include runway terminal building hang fuel storage facility equipment period cover investigation 2001 2003 maintain public enterprise airport pristina peap cooperation military units kosovo force kfor pursuant united nations security council resolution 1244 date 10 june 1999 unmik regulation 1 1999 date 25 july 1999 unmik mandate administer territory kosovo include state own publicly own asset include pristina international airport
10.pdf,"""Allegation 4:

(Specifically, that the Vendor produced its own test results to confirm the quality of its own work on the Cargo Apron, resulting in a conflict of interest.)

An interoffice memorandum from Staff member 2 to the Procurement Official, signed by DOTI Official 1 dated 18 October 2001, indicates that DOTI Official 1 authorised the soil stabilisation work. The memorandum also adds that the work was inadvertently not included in the original contract.

DOTI Official 2 told the ITF that in order to progress the cargo apron tender, he/she had to organise a geographical survey. He/she added that only after the tests were done could the tender go ahead. However, the evaluation report at paragraph 4 suggests that information on the nature of the ground does not appear to have been included in the tender documents. In addition, a letter from the Vendor to UNMIK and PEAP dated 27 June 2001, but apparently not received at UNMIK and PEAP until 17 October 2001, according to a manuscript note signed by Airport Engineer 1 at the bottom of the letter, suggests that it carried out its own soil tests.""",allegation 4 specifically vendor produce test result confirm quality work cargo apron result conflict interest interoffice memorandum staff member 2 procurement official sign doti official 1 date 18 october 2001 indicate doti official 1 authorise soil stabilisation work memorandum add work inadvertently include original contract doti official 2 tell itf order progress cargo apron tender organise geographical survey add test tender ahead evaluation report paragraph 4 suggest information nature ground appear include tender document addition letter vendor unmik peap date 27 june 2001 apparently receive unmik peap 17 october 2001 accord manuscript note sign airport engineer 1 letter suggest carry soil test
